source,target,value
Albania,Bulgaria,1
Albania,Greece,1
Albania,Ussr,1
Algeria,Italy,1
Algeria,Morocco,1
Angola,Cape Verde,1
Angola,Mozambique,1
Australia,Canada,1
Australia,Japan,1
Australia,Philippines,1
Australia,United Kingdom,1
Austria,Germany,1
Belarus,Libya,1
Belarus,Ukraine,1
Belgium,France,1
Belgium,Luxembourg,1
Bulgaria,Poland,1
Cambodia,Laos,1
Cambodia,United States,1
Cambodia,Vietnam,1
Canada,Japan,1
Canada,United States,1
Canada,Ussr,1
Cape Verde,France,1
China,Cuba,1
China,France,1
China,India,1
China,Japan,1
China,Mongolia,1
China,Russian Federation,1
China,United States,1
Cuba,United States,1
Cuba,Vietnam,1
Denmark,Norway,1
Denmark,Poland,1
Denmark,Sweden,1
Egypt,Iraq,1
Egypt,Libya,1
Estonia,Germany,1
Estonia,Latvia,1
Estonia,Lithuania,1
Finland,Germany,1
Finland,Lithuania,1
Finland,Romania,1
France,Germany,1
France,Ghana,1
France,Italy,1
France,Japan,1
France,Poland,1
France,Russian Federation,1
France,United Kingdom,1
Germany,Italy,1
Germany,Japan,1
Germany,Netherlands,1
Germany,Poland,1
Germany,Russian Federation,1
Germany,Spain,1
Germany,Sweden,1
Germany,Ukraine,1
Germany,United Kingdom,1
Germany,United States,1
Germany,Ussr,1
Ghana,Kenya,1
Greece,Italy,1
Greece,United Kingdom,1
Greece,Ussr,1
Hungary,Mongolia,1
Hungary,Romania,1
India,Japan,1
India,Pakistan,1
India,South Africa,1
Iran,Iraq,1
Iran,Libya,1
Iran,United States,1
Israel,Libya,1
Israel,Pakistan,1
Israel,South Africa,1
Italy,Japan,1
Italy,United Kingdom,1
Japan,Philippines,1
Japan,Poland,1
Japan,Russian Federation,1
Japan,Solomon Islands,1
Japan,Thailand,1
Japan,United States,1
Kenya,Vietnam,1
Laos,Philippines,1
Latvia,Lithuania,1
Latvia,United States,1
Lithuania,Russian Federation,1
Lithuania,United States,1
Luxembourg,Netherlands,1
Morocco,United Kingdom,1
Mozambique,Ussr,1
Pakistan,Philippines,1
Philippines,Singapore,1
Philippines,Solomon Islands,1
Poland,Romania,1
Poland,United Kingdom,1
Poland,Ussr,1
Romania,Ussr,1
Russian Federation,United States,1
Rwanda,South Africa,1
Singapore,Thailand,1
Spain,United Kingdom,1
Ukraine,Ussr,1
United Kingdom,Vietnam,1
United States,Ussr,1
United States,Vietnam,1
Ussr,Vietnam,1
